UserID,Channel2,RecordDate2,Duration 2
808930,ICC Cricket World Cup 2011,3/2/2016 9:38,2026-07-30T00:04:30.000Z
808930,ICC Cricket World Cup 2011,3/11/2016 8:40,2026-07-30T00:00:00.000Z
808930,ICC Cricket World Cup 2011,2/24/2016 11:23,2026-07-30T00:03:56.000Z
808930,ICC Cricket World Cup 2011,2/24/2016 8:33,2026-07-30T00:03:44.000Z
808930,Supersport Live Events,2/27/2016 17:11,2026-07-30T00:00:28.000Z
808930,ICC Cricket World Cup 2011,2/23/2016 15:26,2026-07-30T00:00:08.000Z
808930,ICC Cricket World Cup 2011,3/30/2016 12:19,2026-07-30T00:23:08.000Z
879414,CNN,3/31/2016 21:19,2026-07-30T00:00:52.000Z
771791,Channel O,3/14/2016 11:51,2026-07-30T00:02:54.000Z
771791,M-Net,3/6/2016 5:02,2026-07-30T00:01:43.000Z
819259,Supersport Live Events,2/26/2016 15:53,2026-07-30T00:01:44.000Z
2285528,ICC Cricket World Cup 2011,3/15/2016 10:20,2026-07-30T00:53:50.000Z
868892,Trace TV,3/12/2016 14:47,2026-07-30T00:05:54.000Z
808971,Boomerang,2/8/2016 10:45,2026-07-30T00:00:14.000Z
868892,Channel O,3/10/2016 10:50,2026-07-30T00:01:42.000Z
866251,Boomerang,3/10/2016 19:13,2026-07-30T00:04:31.000Z
779369,CNN,2/11/2016 19:35,2026-07-30T00:20:39.000Z
779369,E! Entertainment,1/20/2016 5:20,2026-07-30T00:06:16.000Z
779369,CNN,1/18/2016 13:06,2026-07-30T00:13:19.000Z
1281997,Cartoon Network,2/20/2016 16:51,2026-07-30T00:00:35.000Z
615057,Channel O,1/10/2016 7:34,2026-07-30T00:14:12.000Z
786055,Channel O,1/19/2016 18:42,2026-07-30T00:01:03.000Z
786055,DStv Events 1,1/18/2016 17:49,2026-07-30T00:02:25.000Z
850656,Africa Magic,3/5/2016 21:12,2026-07-30T00:00:17.000Z
850656,Channel O,3/6/2016 5:25,2026-07-30T00:00:00.000Z
850656,Africa Magic,3/6/2016 7:09,2026-07-30T00:00:00.000Z
2368365,ICC Cricket World Cup 2011,3/30/2016 11:17,2026-07-30T00:38:12.000Z
764296,E! Entertainment,2/4/2016 8:42,2026-07-30T00:02:26.000Z
764296,Trace TV,2/1/2016 20:10,2026-07-30T00:00:00.000Z
779373,CNN,2/28/2016 5:58,2026-07-30T00:06:27.000Z
771793,Supersport Live Events,1/5/2016 21:33,2026-07-30T00:04:56.000Z
771793,Supersport Live Events,1/10/2016 4:43,2026-07-30T00:00:00.000Z
771793,Trace TV,2/18/2016 20:23,2026-07-30T00:00:42.000Z
771793,Trace TV,2/12/2016 0:38,2026-07-30T00:02:33.000Z
1106084,Channel O,3/22/2016 18:50,2026-07-30T00:11:39.000Z
1106084,Supersport Live Events,3/5/2016 17:30,2026-07-30T00:00:54.000Z
1106084,ICC Cricket World Cup 2011,3/6/2016 9:20,2026-07-30T00:11:24.000Z
1106084,Trace TV,3/9/2016 4:54,2026-07-30T00:03:24.000Z
1106084,Channel O,3/9/2016 18:00,2026-07-30T00:04:39.000Z
868895,Trace TV,3/14/2016 23:35,2026-07-30T00:13:48.000Z
868895,ICC Cricket World Cup 2011,3/12/2016 12:18,2026-07-30T00:38:02.000Z
868895,Trace TV,3/12/2016 12:19,2026-07-30T00:01:09.000Z
868895,ICC Cricket World Cup 2011,3/16/2016 0:02,2026-07-30T00:02:00.000Z
868895,Channel O,3/16/2016 0:14,2026-07-30T00:03:18.000Z
808934,Supersport Live Events,3/24/2016 12:17,2026-07-30T00:12:40.000Z
808934,Boomerang,3/11/2016 16:58,2026-07-30T00:05:30.000Z
808934,Supersport Live Events,2/6/2016 6:56,2026-07-30T00:00:00.000Z
808934,Trace TV,2/6/2016 10:38,2026-07-30T00:04:03.000Z
808934,Supersport Live Events,2/6/2016 19:55,2026-07-30T00:03:38.000Z
808934,Trace TV,3/6/2016 12:38,2026-07-30T00:04:57.000Z
808934,SuperSport Blitz,2/12/2016 17:16,2026-07-30T00:02:42.000Z
808934,Supersport Live Events,3/6/2016 13:58,2026-07-30T00:01:02.000Z
808934,Supersport Live Events,3/6/2016 14:00,2026-07-30T00:01:38.000Z
808934,Supersport Live Events,3/27/2016 16:07,2026-07-30T00:01:30.000Z
939592,Supersport Live Events,3/27/2016 14:51,2026-07-30T00:17:32.000Z
771796,SuperSport Blitz,2/5/2016 15:17,2026-07-30T00:27:14.000Z
771796,Supersport Live Events,3/24/2016 10:46,2026-07-30T00:02:28.000Z
